Bookmark,Frame#,Role,Addr.,Hands-Free data,AT Cmd,Indication,Response,Frame Size,Delta,Timestamp,
,814,S (AG),5,..OK..,,,Success,20,=" 00:00:00.004525",="6/27/2014 3:33:37.140645 PM",
,817,* M (HF),* 5,* AT+VGM=2.,* Current microphone gain: 2,,,6,=" 00:00:00.155374",="6/27/2014 3:33:37.296019 PM",
,818,S (AG),5,..OK..,,,Success,20,=" 00:00:00.004218",="6/27/2014 3:33:37.300237 PM",
,821,* M (HF),* 5,* AT+VGM=3.,* Current microphone gain: 3,,,6,=" 00:00:00.092999",="6/27/2014 3:33:37.393236 PM",
,822,S (AG),5,..OK..,,,Success,20,=" 00:00:00.001106",="6/27/2014 3:33:37.394342 PM",
,824,M (HF),5,AT+VGM=4.,Current microphone gain: 4,,,23,=" 00:00:00.079274",="6/27/2014 3:33:37.473616 PM",
,825,S (AG),5,..OK..,,,Success,20,=" 00:00:00.003484",="6/27/2014 3:33:37.477100 PM",
,827,M (HF),5,AT+VGM=5.,Current microphone gain: 5,,,23,=" 00:00:00.090573",="6/27/2014 3:33:37.567673 PM",
,828,S (AG),5,..OK..,,,Success,20,=" 00:00:00.007685",="6/27/2014 3:33:37.575358 PM",
,833,M (HF),5,AT+CHUP.,Terminate the call,,,22,=" 00:00:07.520222",="6/27/2014 3:33:45.095580 PM",
,836,S (AG),5,..OK..,,,Success,20,=" 00:00:00.053139",="6/27/2014 3:33:45.148719 PM",
,839,S (AG),5,..+CIEV: 10..,,Call Status indicator's status report,,27,=" 00:00:00.942438",="6/27/2014 3:33:46.091157 PM",
,843,* M (HF),* 5,* AT+BTRH?.,* Query the current "response and hold" state of the AG,,,6,=" 00:00:00.006147",="6/27/2014 3:33:46.097304 PM",
,845,S (AG),5,..ERROR..,,,Error,23,=" 00:00:00.003881",="6/27/2014 3:33:46.101185 PM",
,850,S (AG),5,..+CIEV: 43..,,Signal indicator's status report,,27,=" 00:00:04.536633",="6/27/2014 3:33:50.637818 PM",
,852,S (AG),5,..+CIEV: 44..,,Signal indicator's status report,,27,=" 00:00:05.130664",="6/27/2014 3:33:55.768482 PM",
,854,S (AG),5,..+CIEV: 43..,,Signal indicator's status report,,27,=" 00:00:07.680040",="6/27/2014 3:34:03.448522 PM",
,856,S (AG),5,..+CIEV: 44..,,Signal indicator's status report,,27,=" 00:00:07.685891",="6/27/2014 3:34:11.134413 PM",
,858,S (AG),5,..+CIEV: 43..,,Signal indicator's status report,,27,=" 00:00:25.598778",="6/27/2014 3:34:36.733191 PM",
